Lineup,Players,Salary,Score
1,"Amen Thompson, Anthony Black, Jaden McDaniels, Jabari Smith Jr., Rudy Gobert, Quenton Jackson, Julius Randle, Paolo Banchero",49900,4.945781427993707
2,"Amen Thompson, Anthony Black, Jaden McDaniels, Julius Randle, Rudy Gobert, Quenton Jackson, Paolo Banchero, Ryan Kalkbrenner",49400,4.943195372406531
3,"Amen Thompson, Anthony Black, Jaden McDaniels, Jabari Smith Jr., Ryan Kalkbrenner, Quenton Jackson, Julius Randle, Paolo Banchero",48400,4.917665872860665
4,"Amen Thompson, Anthony Black, Jonathan Kuminga, Julius Randle, Rudy Gobert, Quenton Jackson, Paolo Banchero, Ryan Kalkbrenner",49900,4.913263724319639
5,"Amen Thompson, Anthony Black, Franz Wagner, Julius Randle, Rudy Gobert, Quenton Jackson, Miles Bridges, Ryan Kalkbrenner",49700,4.8961124053875125
6,"Amen Thompson, Anthony Black, Jaden McDaniels, Jonathan Kuminga, Ryan Kalkbrenner, Quenton Jackson, Julius Randle, Paolo Banchero",49500,4.895495756115142
7,"Amen Thompson, Anthony Black, Jonathan Kuminga, Jabari Smith Jr., Ryan Kalkbrenner, Quenton Jackson, Julius Randle, Paolo Banchero",48900,4.887734224773774
8,"Amen Thompson, Anthony Black, Franz Wagner, Julius Randle, Ryan Kalkbrenner, Quenton Jackson, Jaden McDaniels, Miles Bridges",49300,4.878344437183016
9,"Amen Thompson, Anthony Black, Franz Wagner, Miles Bridges, Ryan Kalkbrenner, Quenton Jackson, Jaden McDaniels, Paolo Banchero",49700,4.8770706470841905
10,"Amen Thompson, Anthony Black, Franz Wagner, Jabari Smith Jr., Ryan Kalkbrenner, Quenton Jackson, Julius Randle, Miles Bridges",48700,4.8705829058416485
11,"Amen Thompson, Anthony Black, Franz Wagner, Jabari Smith Jr., Ryan Kalkbrenner, Quenton Jackson, Miles Bridges, Paolo Banchero",49100,4.869309115742822
12,"Amen Thompson, Anthony Black, Franz Wagner, Jonathan Kuminga, Ryan Kalkbrenner, Quenton Jackson, Julius Randle, Miles Bridges",49800,4.848412789096125
13,"Amen Thompson, Anthony Black, Jaden McDaniels, Jabari Smith Jr., Rudy Gobert, Quenton Jackson, Julius Randle, Miles Bridges",48500,4.842083319940712
14,"Amen Thompson, Anthony Black, Jaden McDaniels, Jabari Smith Jr., Rudy Gobert, Quenton Jackson, Miles Bridges, Paolo Banchero",48900,4.840809529841885
15,"Amen Thompson, Anthony Black, Jaden McDaniels, Julius Randle, Rudy Gobert, Quenton Jackson, Miles Bridges, Ryan Kalkbrenner",48000,4.839497264353534
16,"Amen Thompson, Anthony Black, Jaden McDaniels, Miles Bridges, Rudy Gobert, Quenton Jackson, Paolo Banchero, Ryan Kalkbrenner",48400,4.838223474254709
17,"Amen Thompson, Anthony Black, Jaden McDaniels, Jabari Smith Jr., Wendell Carter Jr., Quenton Jackson, Julius Randle, Paolo Banchero",49200,4.832221730800504
18,"Amen Thompson, Brandin Podziemski, Jaden McDaniels, Julius Randle, Rudy Gobert, Quenton Jackson, Paolo Banchero, Ryan Kalkbrenner",49900,4.831638395085559
19,"Amen Thompson, Anthony Black, Jaden McDaniels, Julius Randle, Rudy Gobert, Quenton Jackson, Pascal Siakam, Ryan Kalkbrenner",49800,4.831227876601872
20,"Amen Thompson, Anthony Black, Franz Wagner, Jabari Smith Jr., Rudy Gobert, Quenton Jackson, Jaden McDaniels, Julius Randle",48400,4.8297778748164255
21,"Amen Thompson, Anthony Black, Jaden McDaniels, Julius Randle, Ryan Kalkbrenner, Quenton Jackson, Paolo Banchero, Wendell Carter Jr.",48700,4.829635675213327
22,"Amen Thompson, Anthony Black, Franz Wagner, Jabari Smith Jr., Rudy Gobert, Quenton Jackson, Jaden McDaniels, Paolo Banchero",48800,4.828504084717599
23,"Amen Thompson, Anthony Black, Franz Wagner, Julius Randle, Rudy Gobert, Quenton Jackson, Jaden McDaniels, Ryan Kalkbrenner",47900,4.827191819229248
24,"Amen Thompson, Anthony Black, Franz Wagner, Paolo Banchero, Rudy Gobert, Quenton Jackson, Jaden McDaniels, Ryan Kalkbrenner",48300,4.825918029130422
25,"Amen Thompson, Anthony Black, Jaden McDaniels, Jabari Smith Jr., Draymond Green, Quenton Jackson, Julius Randle, Paolo Banchero",49500,4.825430325818793
