Lineup,Players,Salary,Score
1,"Julian Strawther, Zeke Nnaji, Spencer Jones, Nikola Jokic, Jevon Carter, Aaron Gordon, N'Faly Dante, Vit Krejci",36500,3.5535028360483136
2,"Xavier Tillman, Jonas Valanciunas, Rayan Rupert, Tim Hardaway Jr., Cody Williams, Thomas Bryant, Luke Kennard, Dwight Powell",27000,2.648662789554635
3,"Julian Strawther, Zeke Nnaji, Spencer Jones, Nikola Jokic, Jevon Carter, Aaron Gordon, N'Faly Dante, Vit Krejci",36500,3.5535028360483136
